,age,sex
515,47.0,male
516,34.0,female
517,,male
518,36.0,female
519,32.0,male
520,30.0,female
521,22.0,male
522,,male
523,44.0,female
524,,male
525,40.5,male
526,50.0,female
527,,male
528,39.0,male
529,23.0,male
530,2.0,female
531,,male
532,17.0,male
533,,female
534,30.0,female
535,7.0,female
536,45.0,male
537,30.0,female
538,,male
539,22.0,female
540,36.0,female
541,9.0,female
542,11.0,female
543,32.0,male
544,50.0,male
545,64.0,male
546,19.0,female
547,,male
548,33.0,male
549,8.0,male
550,17.0,male
551,27.0,male
552,,male
553,22.0,male
554,22.0,female
555,62.0,male
556,48.0,female
557,,male
558,39.0,female
559,36.0,female
560,,male
561,40.0,male
562,28.0,male
563,,male
564,,female
565,24.0,male
566,19.0,male
567,29.0,female
568,,male
569,32.0,male
570,62.0,male
571,53.0,female
572,36.0,male
573,,female
574,16.0,male
575,19.0,male
576,34.0,female
577,39.0,female
578,,female
579,32.0,male
580,25.0,female
581,39.0,female
582,54.0,male
583,36.0,male
584,,male
585,18.0,female
586,47.0,male
587,60.0,male
588,22.0,male
589,,male
590,35.0,male
591,52.0,female
592,47.0,male
593,,female
594,37.0,male
595,36.0,male
596,,female
597,49.0,male
598,,male
599,49.0,male
600,24.0,female
601,,male
602,,male
603,44.0,male
604,35.0,male
605,36.0,male
606,30.0,male
607,27.0,male
608,22.0,female
609,40.0,female
610,39.0,female
611,,male
612,,female
613,,male
614,35.0,male
615,24.0,female
616,34.0,male
617,26.0,female
618,4.0,female
619,26.0,male
620,27.0,male
621,42.0,male
622,20.0,male
623,21.0,male
624,21.0,male
625,61.0,male
626,57.0,male
627,21.0,female
628,26.0,male
629,,male
630,80.0,male
631,51.0,male
632,32.0,male
633,,male
634,9.0,female
635,28.0,female
636,32.0,male
637,31.0,male
638,41.0,female
639,,male
640,20.0,male
641,24.0,female
642,2.0,female
643,,male
644,0.75,female
645,48.0,male
646,19.0,male
647,56.0,male
648,,male
649,23.0,female
650,,male
651,18.0,female
652,21.0,male
653,,female
654,18.0,female
655,24.0,male
656,,male
657,32.0,female
658,23.0,male
659,58.0,male
660,50.0,male
661,40.0,male
662,47.0,male
663,36.0,male
664,20.0,male
665,32.0,male
666,25.0,male
667,,male
668,43.0,male
669,,female
670,40.0,female
671,31.0,male
672,70.0,male
673,31.0,male
674,,male
675,18.0,male
676,24.5,male
677,18.0,female
678,43.0,female
679,36.0,male
680,,female
681,27.0,male
682,20.0,male
683,14.0,male
684,60.0,male
685,25.0,male
686,14.0,male
687,19.0,male
688,18.0,male
689,15.0,female
690,31.0,male
691,4.0,female
692,,male
693,25.0,male
694,60.0,male
695,52.0,male
696,44.0,male
697,,female
698,49.0,male
699,42.0,male
700,18.0,female
701,35.0,male
702,18.0,female
703,25.0,male
704,26.0,male
705,39.0,male
706,45.0,female
707,42.0,male
708,22.0,female
709,,male
710,24.0,female
711,,male
712,48.0,male
713,29.0,male
714,52.0,male
715,19.0,male
716,38.0,female
717,27.0,female
718,,male
719,33.0,male
720,6.0,female
721,17.0,male
722,34.0,male
723,50.0,male
724,27.0,male
725,20.0,male
726,30.0,female
727,,female
728,25.0,male
729,25.0,female
730,29.0,female
731,11.0,male
732,,male
733,23.0,male
734,23.0,male
735,28.5,male
736,48.0,female
737,35.0,male
738,,male
739,,male
740,,male
741,36.0,male
742,21.0,female
743,24.0,male
744,31.0,male
745,70.0,male
746,16.0,male
747,30.0,female
748,19.0,male
749,31.0,male
750,4.0,female
751,6.0,male
752,33.0,male
753,23.0,male
754,48.0,female
755,0.67,male
756,28.0,male
757,18.0,male
758,34.0,male
759,33.0,female
760,,male
761,41.0,male
762,20.0,male
763,36.0,female
764,16.0,male
765,51.0,female
766,,male
767,30.5,female
768,,male
769,32.0,male
770,24.0,male
771,48.0,male
772,57.0,female
773,,male
774,54.0,female
775,18.0,male
776,,male
777,5.0,female
778,,male
779,43.0,female
780,13.0,female
781,17.0,female
782,29.0,male
783,,male
784,25.0,male
785,25.0,male
786,18.0,female
787,8.0,male
788,1.0,male
789,46.0,male
790,,male
791,16.0,male
792,,female
793,,male
794,25.0,male
795,39.0,male
796,49.0,female
797,31.0,female
798,30.0,male
799,30.0,female
800,34.0,male
801,31.0,female
802,11.0,male
803,0.42,male
804,27.0,male
805,31.0,male
806,39.0,male
807,18.0,female
808,39.0,male
809,33.0,female
810,26.0,male
811,39.0,male
812,35.0,male
813,6.0,female
814,30.5,male
815,,male
816,23.0,female
817,31.0,male
818,43.0,male
819,10.0,male
820,52.0,female
821,27.0,male
822,38.0,male
823,27.0,female
824,2.0,male
825,,male
826,,male
827,1.0,male
828,,male
829,62.0,female
830,15.0,female
831,0.83,male
832,,male
833,23.0,male
834,18.0,male
835,39.0,female
836,21.0,male
837,,male
838,32.0,male
839,,male
840,20.0,male
841,16.0,male
842,30.0,female
843,34.5,male
844,17.0,male
845,42.0,male
846,,male
847,35.0,male
848,28.0,male
849,,female
850,4.0,male
851,74.0,male
852,9.0,female
853,16.0,female
854,44.0,female
855,18.0,female
856,45.0,female
857,51.0,male
858,24.0,female
859,,male
860,41.0,male
861,21.0,male
862,48.0,female
863,,female
864,24.0,male
865,42.0,female
866,27.0,female
867,31.0,male
868,,male
869,4.0,male
870,26.0,male
871,47.0,female
872,33.0,male
873,47.0,male
874,28.0,female
875,15.0,female
876,20.0,male
877,19.0,male
878,,male
879,56.0,female
880,25.0,female
881,33.0,male
882,22.0,female
883,28.0,male
884,25.0,male
885,39.0,female
886,27.0,male
887,19.0,female
888,,female
889,26.0,male
890,32.0,male
